glucose_uptake,oxygen_uptake,ammonia_uptake,phosphate_uptake,Biomass_Ecoli_core_flux
3.0,8.28,5.41,4.54,0.23226828234269653
7.94,19.76,0.82,3.02,0.1503814553990614
0.67,13.78,3.59,5.34,0.017712830143784476
3.57,3.01,1.23,4.59,0.12294563663498355
6.22,2.62,0.76,4.24,0.13937793427230052
0.82,20.56,5.68,0.58,0.031654712940616836
0.94,24.67,3.06,2.29,0.042808219178082266
8.15,23.69,7.89,4.54,0.7043417261744865
3.82,2.18,6.24,3.39,0.10189948391234178
4.3,22.67,0.98,3.01,0.17972417840375596
1.26,16.27,5.99,3.54,0.07255090247799045
9.63,9.43,2.36,5.22,0.4328051643192488
2.31,24.08,0.2,5.82,0.03667840375586856
0.53,22.29,4.27,5.96,0.004700406200074628
0.83,13.89,7.76,3.19,0.032584171793738737
6.33,17.42,3.69,3.8,0.5375118877717956
5.88,22.54,0.46,1.76,0.08436032863849743
9.51,22.27,3.7,3.76,0.6785504694835682
2.85,4.78,3.76,2.18,0.1549736702896905
5.88,2.04,7.8,5.92,0.1596056046931362
7.01,13.45,2.55,4.9,0.467649647887324
6.88,4.15,7.3,4.95,0.26601857118094246
9.5,18.17,4.95,2.57,0.6986163590398826
9.33,21.66,0.46,0.26,0.07067714138145817
3.83,20.28,7.9,0.99,0.2691168075678875
5.98,9.58,7.76,5.07,0.40885910710068146
8.4,11.77,3.38,1.71,0.4648381221627214
0.66,21.63,6.52,6.0,0.01678337129066247
9.97,13.93,6.18,5.67,0.6857875114855326
8.51,6.26,3.66,0.86,0.23377823687715532
9.55,15.19,1.91,4.06,0.3502787558685444
6.22,9.02,1.0,4.06,0.18339201877934277
5.25,19.33,4.21,5.13,0.43851396168668255
5.56,14.07,7.03,2.48,0.46693003306296504
7.07,5.4,1.18,0.19,0.05164868024030132
3.57,14.79,3.2,2.68,0.284517187776507
9.05,8.77,4.16,4.72,0.4882079156950397
4.03,15.59,6.91,5.7,0.32668297110905437
1.56,23.17,3.99,1.62,0.10027104756254533
4.65,24.5,3.99,2.04,0.38351511386161957
6.37,6.08,0.7,0.86,0.12837441314554057
1.37,3.88,1.2,3.88,0.06636627552563783
1.9,8.71,7.18,2.9,0.1314370613300812
6.71,4.39,1.62,0.34,0.09242395411422726
1.77,7.04,1.5,0.62,0.1195206443013174
1.29,11.57,1.73,2.25,0.07533927903735697
5.08,17.29,0.41,4.82,0.07519072769953074
6.32,2.14,7.0,5.53,0.17660731206329336
0.7,6.99,6.47,4.51,0.020501206703151063
1.93,5.31,3.03,2.96,0.12490224875059505
6.22,9.29,3.75,4.51,0.4131406679522702
5.17,13.35,0.95,2.74,0.17422241784037565
5.37,6.14,2.23,2.33,0.2831540917743143
1.29,22.27,4.79,4.11,0.07533927903735681
7.91,12.51,0.79,3.27,0.14487969483568086
5.91,18.66,3.51,0.85,0.23105988528556512
2.91,9.14,5.2,3.47,0.22401845516893687
3.63,24.66,4.89,1.5,0.29001707255901255
1.11,3.91,2.04,1.05,0.05441878432131017
1.95,7.2,1.47,5.39,0.13602029864883627
0.89,13.16,3.34,5.9,0.03816092491247165
1.21,10.01,7.76,5.21,0.06790360821237985
8.19,6.52,1.45,4.04,0.2659184272300466
9.3,13.96,4.62,1.75,0.4757115285291004
7.72,4.76,2.66,2.61,0.3135624336476528
5.13,6.14,1.01,3.7,0.18522593896713616
2.96,14.57,1.32,2.94,0.22860169248769216
5.37,1.39,2.76,0.89,0.12067335622010543
0.73,24.75,2.65,4.88,0.023289583262517302
2.62,17.07,6.11,3.61,0.19743567872015652
4.77,10.35,2.86,5.58,0.3709828891315914
8.32,24.13,1.08,4.41,0.19806338028169193
9.39,4.61,0.63,4.47,0.11553697183098595
5.79,21.06,1.2,4.79,0.22007042253521772
2.1,4.18,1.4,4.91,0.10676757469266704
6.69,13.12,2.93,5.28,0.5227173138441279
3.99,20.43,3.57,2.32,0.3230163812540503
4.68,7.6,6.01,3.07,0.3037239081319347
2.4,22.5,3.13,3.31,0.17726943451763366
9.07,15.64,1.02,5.65,0.18705985915492992
6.31,8.44,1.2,4.78,0.22007042253521109
6.24,13.38,7.16,4.75,0.5080259323288445
1.6,7.86,2.06,4.49,0.10393763741754981
3.49,20.55,0.97,5.09,0.17789025821596244
1.36,9.99,6.4,0.98,0.08184549100921155
2.37,18.08,5.79,3.88,0.1745194921263804
6.97,13.61,2.09,2.14,0.38328931924882675
1.9,22.72,4.71,2.47,0.131437061330081
4.67,23.69,1.31,3.56,0.24024354460093925
5.11,15.33,0.24,5.25,0.04401408450704225
9.33,14.17,5.6,5.54,0.668024259143727
7.1,3.9,4.65,3.68,0.2637202947774853
4.3,18.44,7.48,5.56,0.35143245263033235
4.56,2.92,7.88,5.05,0.15107706093090711
1.33,23.03,6.97,3.16,0.07905711444984549
5.95,10.04,0.53,2.08,0.09719776995305164
8.05,0.22,2.73,2.45,0.1601870963132878
5.42,23.0,2.84,2.15,0.45409696857044995
7.4,11.36,1.87,2.77,0.3429430751173717
1.49,4.49,4.04,2.57,0.08587826660062342
9.16,9.12,4.69,3.83,0.5031563719555046
1.57,10.42,0.77,5.98,0.10118769502629633
5.07,14.93,0.63,4.52,0.11553697183098595
2.18,22.46,1.72,1.23,0.15710319031511044
7.78,11.39,4.24,2.7,0.5320783851550985
4.07,14.04,1.33,1.17,0.2439113849765262
8.63,23.66,3.05,1.7,0.462119770571123
6.48,10.28,0.3,1.02,0.055017605633802834
7.19,16.51,0.31,1.41,0.05685152582159627
2.39,16.83,0.26,0.71,0.04768192488262913
8.02,4.55,5.26,1.51,0.31514076804520774
1.08,6.15,5.81,5.15,0.055820643121792156
8.32,9.99,5.38,1.31,0.3561040584989268
3.0,22.42,0.2,0.6,0.03667840375586852
2.16,0.76,1.53,3.54,0.00022152061720092357
4.27,22.33,6.56,2.12,0.34868251023908003
2.67,9.55,4.76,1.68,0.20201891603891184
6.28,10.29,4.46,2.67,0.4389305286397773
3.02,23.72,6.13,0.93,0.2341015772701986
8.7,12.24,7.17,4.82,0.5895974451138456
4.31,0.66,2.22,3.3,0.062108843047658485
6.37,6.52,1.2,5.03,0.22007042253521128
9.85,13.19,1.46,1.71,0.26775234741784043
2.81,13.9,5.25,5.0,0.21485198053142665
8.75,14.98,4.84,4.02,0.6599899098775556
1.84,22.87,3.41,2.36,0.12593717654757472
5.24,1.27,1.41,4.45,0.11239402315222789
0.92,15.12,2.04,2.4,0.04094930147183786
2.96,8.96,5.78,1.85,0.22860169248769222
5.71,11.95,5.34,5.63,0.450867276120945
7.35,5.45,0.35,1.65,0.064187206572772
5.99,1.38,4.02,3.62,0.1391980178335172
3.41,19.3,0.94,0.54,0.14679098594611933
7.31,12.44,5.54,2.67,0.5355722726699993
2.54,20.5,6.42,4.2,0.19010249901014806
2.79,14.8,2.95,0.64,0.173974501862073
9.18,3.51,7.61,2.73,0.31303632218180116
1.93,13.59,7.0,4.42,0.1341870037213342
8.08,16.5,5.57,5.11,0.6641218609287303
2.57,12.29,1.85,5.93,0.19285244140140143
9.45,1.08,5.67,5.56,0.23378732137823566
1.89,14.24,7.33,0.3,0.08155054774784595
7.0,7.5,7.4,5.83,0.38031905746733546
9.45,11.91,6.91,5.08,0.6032460356125305
3.26,20.74,0.39,3.62,0.0715228873239437
2.38,3.1,0.71,4.21,0.08719932818604544
3.46,18.15,0.62,1.96,0.1137030516431926
5.44,19.79,2.62,3.79,0.4559302634979522
8.87,15.43,1.94,0.24,0.06524043819827534
8.71,0.63,7.01,3.22,0.19504890344525497
9.4,19.99,7.98,2.17,0.5898822953760887
7.7,10.11,3.89,3.8,0.48788294925459263
8.75,24.6,6.17,2.56,0.695898007448277
4.27,18.47,1.99,0.75,0.2038763693696139
3.61,7.25,2.44,1.48,0.24656525192403556
3.9,17.02,1.82,5.7,0.3147665540802905
7.88,2.33,3.4,5.29,0.23096293350892536
9.45,11.74,4.95,1.09,0.2963003234838449
9.91,5.87,7.55,3.93,0.4202246108298105
6.12,12.87,1.92,1.14,0.3098920814418175
2.28,4.74,6.26,2.17,0.12788643562088692
0.67,24.23,7.08,5.57,0.0177128301437847
9.95,4.43,3.23,4.57,0.36960714979944076
6.99,3.93,6.55,1.42,0.26144970845117793
2.32,13.47,4.78,3.52,0.16993625480762523
1.01,21.95,2.2,0.86,0.04931443114993715
8.9,23.9,6.91,4.88,0.773090285955815
6.59,13.82,0.79,2.51,0.14487969483568103
3.79,6.57,5.82,3.03,0.23921956116639384
0.9,5.58,5.5,0.55,0.03909038376559363
8.53,12.43,3.9,3.6,0.5902473779947349
8.26,8.76,5.46,3.44,0.46221060045944856
2.74,21.98,6.4,3.98,0.20843544828516905
8.52,21.7,5.7,5.04,0.7382576823332755
7.0,17.04,4.99,4.54,0.5989272678431162
1.67,22.03,6.99,0.27,0.07339549297306204
8.28,3.31,2.75,4.49,0.2784237257441849
1.69,20.47,6.67,3.09,0.1121874645913094
6.35,6.57,5.11,3.29,0.328974359877044
7.82,2.76,6.11,3.29,0.24461414154392103
9.63,8.61,5.1,5.6,0.5018565061937248
1.11,23.44,5.53,0.5,0.05860901968115841
3.08,17.73,0.63,3.53,0.11553697183098605
3.52,15.56,0.46,5.24,0.08436032863849767
9.74,24.23,6.02,0.87,0.23649658846875204
7.61,0.71,0.27,2.01,0.04951584507042256
4.94,19.28,5.5,2.73,0.41009789031039995
2.81,24.93,3.47,2.76,0.21485198053142654
1.72,19.89,5.58,1.4,0.11493740698256213
0.92,17.04,5.27,1.71,0.04094930147183802
9.51,3.86,3.52,5.67,0.33568680529057704
4.26,16.0,3.24,1.72,0.3477658627753293
9.84,10.29,7.16,1.46,0.39687933237286604
2.21,0.88,5.25,2.27,0.006064126895870218
8.66,11.88,7.75,1.19,0.3234838393997863
8.7,19.44,6.19,5.08,0.7547573366807944
7.63,15.69,1.14,0.29,0.07883219615626101
9.22,15.45,6.39,2.94,0.6923568597784154
1.26,3.22,5.52,2.64,0.04616562594212315
2.09,12.34,0.61,3.53,0.1118691314553995
2.76,19.96,2.55,2.79,0.2102687432126712
6.04,7.36,5.59,5.17,0.3445727490183986
7.82,1.09,3.9,0.72,0.18449898405106901
2.5,24.67,1.23,3.04,0.18643590915514502
6.22,17.59,4.52,0.16,0.043493625465521754
3.33,12.99,0.79,2.17,0.1448796948356809
5.72,17.27,6.42,1.28,0.34794900372414056
1.76,2.7,5.13,4.27,0.05405275126066677
7.12,21.79,5.74,4.83,0.6099270374081286
3.46,20.39,0.73,5.38,0.13387617370892044
5.52,20.45,3.67,3.9,0.46326344320796087
5.31,18.32,0.74,0.46,0.12504417321335964
2.55,4.07,6.99,1.39,0.1242455023967622
9.76,8.49,1.54,4.76,0.28242370892018764
6.62,12.51,4.49,4.34,0.5055008511309046
2.36,24.91,7.8,3.94,0.17360284466262904
2.08,17.04,0.67,0.28,0.07611384456465
2.65,11.62,6.96,4.39,0.20018562111141053
7.45,10.69,2.83,2.29,0.49860684178927606
9.88,1.1,6.95,3.51,0.24760466987613075
4.44,18.16,3.94,5.25,0.3642655171228463
9.02,10.6,2.29,3.59,0.4199677230046955
9.13,5.35,5.02,3.83,0.377748032481568
7.36,3.38,5.76,5.46,0.25292116468894943
1.88,6.01,7.77,1.17,0.12960376640257903
8.56,12.36,2.05,5.24,0.3759536384976531
4.51,12.92,2.94,3.6,0.37068204936910437
1.72,9.84,7.76,1.62,0.11493740698256213
6.6,8.2,6.21,0.87,0.23649658846875254
9.7,11.4,1.96,0.53,0.14407263435453976
1.78,13.04,2.76,4.99,0.12043729176506852
4.37,6.29,4.98,4.27,0.25553194433649834
1.75,4.27,0.39,4.44,0.07152288732394374
6.67,11.92,6.77,4.85,0.494252762158266
5.9,21.72,1.73,0.76,0.20659472096121334
2.77,1.52,4.3,5.63,0.046159358609204885
0.49,3.14,3.67,5.61,0.000982570787586246
3.23,12.73,0.43,0.98,0.07885856807511736
9.87,24.13,0.14,5.72,0.02567488262910799
6.43,21.71,3.69,3.14,0.5466783624093058
4.94,16.7,1.2,0.28,0.07611384456465961
3.15,17.65,1.69,4.07,0.24601799429896407
9.7,2.44,5.41,2.72,0.2903581489958748
8.69,4.51,5.57,5.04,0.3341084708930218
9.45,17.11,4.03,3.75,0.7390698356807512
8.7,14.31,0.34,5.59,0.062353286384976545
6.93,16.95,1.8,3.99,0.330105633802817
4.0,16.32,0.94,3.98,0.17238849765258218
9.99,1.3,7.82,2.5,0.25815458927031704
8.72,19.58,4.58,4.46,0.7565906316082993
8.8,10.16,2.68,4.04,0.49149061032863894
8.1,19.08,6.4,2.67,0.6997584888557318
8.2,3.09,4.4,0.13,0.03533857069072626
3.31,9.22,3.23,4.2,0.2606843537189778
3.95,11.27,1.98,2.3,0.3193497913990462
2.35,1.92,4.87,4.04,0.047765383083910554
6.23,11.64,3.1,5.19,0.4676246331618149
5.24,12.03,0.3,2.11,0.05501760563380369
3.86,10.03,4.68,3.25,0.31109996422528646
6.12,19.15,6.52,4.34,0.518262291033024
9.56,0.55,1.65,0.14,0.03805692228233948
6.51,22.46,2.02,5.57,0.3704518779342725
0.7,23.37,2.88,0.7,0.02050120670315094
4.91,6.49,2.35,1.91,0.27957946092942054
8.05,13.53,2.56,3.7,0.46948356807511776
7.19,6.89,3.37,0.82,0.2229048305107804
1.89,17.06,1.53,3.2,0.13052041386632987
7.12,2.76,4.58,1.61,0.22329278213834958
9.63,12.14,6.47,3.35,0.616569659670771
0.53,15.87,7.62,3.65,0.0047004062000744655
8.21,22.12,1.9,1.35,0.34844483568075074
6.15,10.33,6.73,5.41,0.4338803662438982
3.6,6.0,6.27,1.72,0.21741204172964504
8.24,10.65,5.37,0.66,0.17941120504526079
6.28,11.35,4.73,1.09,0.2963003234838389
7.4,21.58,1.81,0.66,0.17941120504526284
2.4,9.83,4.8,3.03,0.17726943451763344
9.88,3.5,5.59,2.49,0.3339977105844215
4.34,17.97,5.57,5.95,0.3550990424853361
1.37,2.69,5.82,3.51,0.03904948802065769
2.81,2.08,0.78,5.38,0.06753609816907684
2.0,8.15,1.89,2.19,0.1406035359675916
0.79,13.02,0.63,4.82,0.02886633638125023
2.41,13.55,7.05,3.94,0.17818608198138466
5.38,8.18,2.73,4.05,0.3491753696948428
9.94,16.58,4.51,4.41,0.7513519386757248
4.71,1.6,4.54,5.75,0.10812975127111309
1.84,17.28,1.69,3.26,0.1259371765475756
1.06,11.31,6.07,2.15,0.05396172541554779
6.68,19.91,7.42,1.48,0.4023160355560412
4.05,3.9,7.94,5.57,0.16746603897593312
5.45,21.07,4.22,3.78,0.4568469109617031
0.98,18.91,1.11,4.97,0.04652605459057073
7.84,17.75,0.39,1.89,0.07152288732394341
2.7,9.07,0.79,5.63,0.14487969483568083
5.58,7.71,3.24,2.74,0.34099811817350467
6.05,12.94,7.36,3.03,0.48920259976238706
9.92,21.3,1.75,5.59,0.3209360328638522
1.25,20.45,3.11,5.28,0.07162144362486816
8.69,20.17,6.34,1.9,0.5164868024030232
0.9,10.13,1.47,4.2,0.039090383765593706
3.53,24.39,5.16,4.95,0.28085059792150197
1.41,21.56,7.39,2.97,0.08649278527482254
6.1,19.14,1.48,3.07,0.2714201877934272
4.05,3.74,3.0,0.5,0.13591757957974235
9.66,10.87,2.56,3.09,0.46948356807511754
4.45,2.73,5.16,1.37,0.14088711253967304
6.23,16.29,1.3,0.46,0.12504417321336783
7.83,11.55,0.56,5.97,0.10269953051643181
0.67,17.41,7.87,1.51,0.017712830143784573
1.51,3.12,2.5,0.7,0.05534773938917527
6.95,1.65,4.12,5.98,0.17815795638369858
8.16,15.42,2.52,3.78,0.46214788732394346
5.32,10.71,1.13,5.33,0.20723298122065734
4.55,4.95,3.01,2.54,0.2178358372448913
8.29,18.37,6.18,0.17,0.046211977057108215
4.22,12.09,0.25,1.63,0.04584800469483571
7.63,3.51,4.33,1.37,0.2658247406408924
9.6,12.25,0.97,3.33,0.1778902582159625
4.6,21.12,0.87,2.98,0.1595510563380282
1.59,8.18,5.93,2.91,0.10302098995379866
3.82,9.92,3.73,4.73,0.30743337437028256
8.93,23.89,6.32,1.96,0.5327969119525793
6.91,11.0,2.11,5.06,0.38695715962441335
0.48,22.55,3.75,3.86,5.311193446410331e-05
6.63,22.39,5.13,3.72,0.5650113116843273
0.76,13.01,1.29,4.45,0.026077959821883857
5.17,17.04,0.43,0.6,0.07885856807511771
7.19,1.89,0.66,0.17,0.04621197705711207
9.57,18.46,2.89,1.85,0.5028950444450581
3.56,19.39,5.32,1.19,0.2836005403127552
1.82,2.55,5.32,4.61,0.05112805329666262
2.72,0.62,0.75,5.81,0.01223901410034116
3.02,19.25,5.03,2.35,0.234101577270197
2.14,3.12,4.96,4.67,0.08005006649625787
6.47,13.3,0.43,5.81,0.07885856807511747
8.01,7.39,7.84,3.65,0.40956603710737677
5.87,18.73,6.51,3.97,0.4953461044392478
1.37,8.52,7.43,1.43,0.08277494986233382
3.78,10.86,3.57,3.72,0.3037667845152782
9.44,6.09,1.06,1.27,0.19439553990610406
8.88,16.18,2.36,4.91,0.432805164319249
8.63,21.18,7.36,1.59,0.43221790306357977
7.57,11.57,6.75,4.4,0.5275379234038297
7.79,16.44,1.5,3.32,0.275088028169014
9.85,23.44,0.44,1.07,0.08069248826291081
1.4,18.18,6.56,1.36,0.08556332642170052
5.11,21.03,5.89,3.3,0.4256808971941678
5.94,12.76,2.45,3.43,0.44931044600938996
6.92,21.85,5.13,4.59,0.5915940881331081
1.68,11.59,0.17,1.56,0.031176643192488206
7.29,24.8,0.88,2.47,0.16138497652582154
8.02,5.18,4.49,4.43,0.33781894123113404
6.2,4.78,2.91,4.72,0.26593087043073493
5.59,0.23,6.11,0.31,0.08426889933943771
7.48,5.14,7.67,2.27,0.31922536666369694
3.34,3.81,2.51,5.27,0.14146872374034206
9.96,9.27,3.64,4.36,0.5340281837977688
8.87,14.87,3.19,2.53,0.5850205399061033
6.99,0.18,4.99,2.2,0.12646058234447513
7.96,2.42,4.75,2.94,0.2366393993246945
6.46,1.71,4.68,3.41,0.1653928308175056
5.65,15.13,5.44,4.85,0.4751798602367244
2.77,20.64,4.04,0.55,0.14950933753771495
0.68,8.42,6.3,4.28,0.0186422889969068
7.91,12.98,3.58,0.97,0.2636801043847043
3.35,10.91,0.8,1.4,0.14671361502347424
6.02,18.42,7.99,5.61,0.5090958163955138
6.46,10.59,5.13,4.74,0.454081015827413
1.27,10.31,6.73,2.36,0.07348036133111262
5.76,14.74,1.56,2.24,0.2860915492957747
3.41,0.75,0.29,5.01,0.037935405695627374
2.8,13.0,2.46,5.65,0.21393533306767507
2.67,10.8,6.99,5.07,0.20201891603891184
1.94,20.09,3.72,2.95,0.13510365118508516
1.42,2.11,5.85,3.03,0.02383087229929205
4.42,18.26,6.15,1.04,0.2827085655258712
6.14,3.47,6.04,3.98,0.21900082018008513
9.57,1.82,0.55,1.76,0.10086561032863862
2.69,6.25,7.26,1.57,0.18137224644996494
2.79,19.01,3.65,4.68,0.21301868560392462
0.75,12.24,0.37,0.47,0.02514850096876173
9.07,3.57,4.31,2.53,0.3118456488643487
3.54,22.51,0.27,4.02,0.04951584507042251
9.64,14.05,7.5,0.41,0.11145241525538911
4.25,6.58,5.87,5.89,0.26056797493078915
2.64,16.39,1.66,3.44,0.19926897364765866
4.69,24.3,4.91,2.16,0.3871817037166237
1.23,3.87,1.88,1.58,0.059502937539867344
8.52,14.07,4.23,0.78,0.2120314241443961
8.62,18.1,0.63,4.28,0.1155369718309859
5.48,2.13,3.72,2.96,0.150661709773656
1.74,23.65,6.81,4.05,0.1167707019100633
4.68,10.35,5.24,3.32,0.36685093808041813
0.72,12.86,6.47,2.81,0.02236012440939538
0.61,19.68,1.69,1.63,0.012136077025051827
1.73,8.32,6.08,3.16,0.11585405444631318
2.13,21.96,7.05,5.24,0.15251995299635512
2.46,11.34,7.88,4.65,0.18276931930013984
5.43,12.5,0.93,3.98,0.17055457746478894
8.24,9.57,6.23,5.79,0.4878829492545948
2.12,13.13,2.37,4.78,0.15160330553260373
5.82,15.9,6.4,2.44,0.49076286712049233
9.16,13.37,1.35,4.21,0.24757922535211327
7.95,7.99,6.87,5.45,0.4271142248914001
2.84,24.59,1.21,1.29,0.21760192292267905
1.92,22.36,5.27,1.0,0.13327035625758316
4.46,15.42,0.76,5.31,0.1393779342723002
8.06,12.68,7.74,2.56,0.5755144661646769
9.84,16.73,5.11,1.08,0.29358197189223906
8.83,10.74,1.38,0.17,0.046211977057111664
5.64,13.23,5.78,5.35,0.4742632127729732
0.89,18.31,1.58,5.16,0.038160924912471604
8.21,13.57,5.71,1.95,0.5300785603609983
4.76,20.56,3.73,2.21,0.39359823596288096
4.99,20.72,2.75,1.13,0.3071737298502217
7.15,20.67,0.9,1.52,0.16505281690140797
1.51,8.76,3.66,4.52,0.09568781024379013
6.55,15.56,2.88,5.06,0.5281690140845069
4.77,24.48,5.11,0.84,0.22834153369396853
6.79,8.2,5.52,0.51,0.13863593117133713
1.83,21.41,1.89,5.04,0.12502052908382358
2.86,16.11,5.58,3.12,0.2194352178501818
3.12,5.39,0.36,1.89,0.06602112676056343
6.57,23.46,6.98,4.62,0.5595114269018203
7.91,16.66,2.16,5.45,0.39612676056338064
6.74,14.05,0.98,2.74,0.17972417840375593
4.66,21.63,4.42,2.34,0.3844317613253708
9.77,2.86,3.44,0.35,0.09514230570581574
7.43,22.96,2.31,5.16,0.42363556338028163
2.99,22.78,6.06,4.85,0.23135163487894547
8.31,7.11,6.99,0.76,0.20659472096120368
7.07,13.56,0.86,1.53,0.15771713615023478
3.04,7.57,5.97,0.38,0.10329736048060473
9.04,21.32,5.38,3.6,0.7859233504483303
8.93,4.71,0.72,1.51,0.13204225352112645
7.97,0.96,4.7,5.97,0.18438822374246894
8.57,13.08,0.6,5.01,0.1100352112676055
6.03,2.96,0.84,5.47,0.1540492957746479
6.73,20.75,7.04,3.47,0.5741777863218365
5.22,10.82,2.6,2.66,0.4024316276877453
7.76,15.09,7.15,2.72,0.6170635295125882
6.11,15.82,4.77,4.25,0.5173456435692727
2.45,12.86,0.92,2.37,0.16872065727699542
4.93,16.34,7.61,3.64,0.40918124284664886
7.46,12.71,5.11,0.52,0.14135428276292955
2.62,9.11,3.83,0.37,0.10057900888900784
1.49,6.99,7.78,2.05,0.09385451531628802
4.87,4.98,4.93,1.76,0.22920966266046303
2.15,12.96,0.14,0.15,0.025674882629107963
2.27,1.01,0.95,2.1,0.01257129502614228
8.05,14.34,4.15,1.83,0.49745834126185934
9.32,9.99,0.79,3.74,0.14487969483568108
1.23,8.7,4.11,5.26,0.06976252591862393
4.99,17.59,7.94,0.88,0.23921494006034888
2.82,9.92,3.43,2.53,0.21576862799517763
9.09,17.88,4.9,1.93,0.5246418571778111
8.26,23.88,6.59,0.11,0.029901867507555364
6.4,1.37,2.14,0.45,0.12232582162176982
6.08,17.2,1.0,2.36,0.18339201877934205
